Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
6,QuarkUp/frog,-,0.3,75.46,830,905.46,422.25,1327.71,init
6,QuarkUp/frog,Compte,1.9,77.36,830,907.36,422.25,1329.61,Compte d?apr?s vacances
6,QuarkUp/frog,Quoti,5,82.36,830,912.36,422.25,1334.61,
11,QuarkUp/frog,Jupiler,-15.59,66.77,830,896.77,422.25,1319.02,TICKETS 26
11,QuarkUp/frog,Vidange,-4.5,62.27,830,892.27,422.25,1314.52,TICKETS 26
11,QuarkUp/frog,Coca,-12.09,50.18,830,880.18,422.25,1302.43,TICKETS 26
11,QuarkUp/frog,Fanta,-10.59,39.59,830,869.59,422.25,1291.84,TICKETS 26
11,QuarkUp/frog,Don Ardoise,22.97,62.56,830,892.56,422.25,1314.81,Ardoise QuarkUp
11,QuarkUp/frog,Quoti,5,67.56,830,897.56,422.25,1319.81,Quoti didi
11,QuarkUp/frog,Don Ardoise,5,72.56,830,902.56,422.25,1324.81,Ardoise Didikadent
12,QuarkUp/frog,Don Ardoise,20,92.56,830,922.56,422.25,1344.81,Ardoise Astramast
12,QuarkUp/frog,Don Ardoise,2,94.56,830,924.56,422.25,1346.81,Ardoise Omelette
12,QuarkUp/frog,Don,2,96.56,830,926.56,422.25,1348.81,Don
16,QuarkUp/frog,Dons,25.1,121.66,830,951.66,422.25,1373.91,
16,QuarkUp/frog,Don Ardoise,5,126.66,830,956.66,422.25,1378.91,
16,QuarkUp/frog,Don Ardoise,5,131.66,830,961.66,422.25,1383.91,
16,QuarkUp/frog,COURSES,-68.99,62.67,830,892.67,422.25,1314.92,Tickets 22/23/24
16,QuarkUp/frog,Don Ardoise,68.99,131.66,830,961.66,422.25,1383.91,
16,QuarkUp/frog,Coti,5,136.66,830,966.66,422.25,1388.91,
16,QuarkUp/frog,Coti,5,141.66,830,971.66,422.25,1393.91,
16,QuarkUp/frog,VPS\,-7.02,134.64,830,964.64,422.25,1386.89,
16,QuarkUp/frog,Don,7.02,141.66,830,971.66,422.25,1393.91,
16,QuarkUp/frog,Vinaigre,-0.52,141.14,830,971.14,422.25,1393.39,Tickets 25
