Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
3,QuarkUp/frog,init,0,141.14,830,830,422.25,1393.39,
3,QuarkUp/frog,Don ardoise,20,161.14,830,991.14,422.25,1413.39,
14,QuarkUp/frog,coti,5,166.14,830,996.14,422.25,1418.39,
14,QuarkUp/frog,coti,5,171.14,830,1001.14,422.25,1423.39,
14,QuarkUp/frog,JUPILER,-26.5,144.64,830,974.64,422.25,1396.89,Ticket 26
14,QuarkUp/frog,sprite,-5.34,139.3,830,969.3,422.25,1391.55,Ticket 27
14,QuarkUp/frog,fanta,-12.23,127.07,830,957.07,422.25,1379.32,
14,QuarkUp/frog,ice tea,-4.78,122.29,830,952.29,422.25,1374.54,
14,QuarkUp/frog,rodeo,-1.74,120.55,830,950.55,422.25,1372.8,
14,QuarkUp/frog,lay’s,-14.8,105.75,830,935.75,422.25,1358,
24,QuarkUp/frog,Eristoff,-10.6,105.15,820,925.15,422.25,1347.4,Ticket 28
24,QuarkUp/frog,don,0.6,105.75,820,925.75,422.25,1348,
24,QuarkUp/frog,fanta,-12.45,93.3,820,913.3,422.25,1335.55,Ticket 29
24,QuarkUp/frog,lay’s,-15,78.3,820,898.3,422.25,1320.55,Ticket 29
24,QuarkUp/frog,sacs,-2.5,75.8,820,895.8,422.25,1318.05,Ticket 29
24,QuarkUp/frog,sacs,-1.5,74.3,820,894.3,422.25,1316.55,Ticket 29
24,QuarkUp/frog,dons oct,71.35,145.65,820,965.65,422.25,1387.9,
27,QuarkUp/frog,,-153.4,145.65,820,965.65,276.6,1242.25,Ticket 30
