Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
13,QuarkUp/frog,init,0,194.11,750,944.11,68.57,1012.68,
13,QuarkUp/frog,coti,5,199.11,750,949.11,68.57,1017.68,
13,QuarkUp/frog,CI fosdem,1500,199.11,750,949.11,1568.57,2517.68,
13,QuarkUp/frog,clubmate,-330.62,199.11,750,949.11,1237.95,2187.06,
13,QuarkUp/frog,donations,46,245.11,750,995.11,1237.95,2233.06,
13,QuarkUp/frog,cashback,5.27,245.11,750,995.11,1243.22,2238.33,
,,,,,,0,,0,
,,,,,,0,,0,
,,,,,,0,,0,
,,,,,,0,,0,
