Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
3,QuarkUp/frog,init,0,245.11,750,995.11,1243.22,2238.33,
3,QuarkUp/frog,LAY’S Paprika,-15,230.11,750,980.11,1243.22,2223.33,Ticket 37
3,QuarkUp/frog,ardoise,15,245.11,750,995.11,1243.22,2238.33,
11,QuarkUp/frog,Jupiler x48,-30.38,214.73,750,964.73,1243.22,2207.95,Ticket 38
11,QuarkUp/frog,FANTA Orange,-4.98,209.75,750,959.75,1243.22,2202.97,Ticket 38
11,QuarkUp/frog,Orangina,-5.79,203.96,750,953.96,1243.22,2197.18,Ticket 38
11,QuarkUp/frog,Essuis-tout,-4.24,199.72,750,949.72,1243.22,2192.94,Ticket 38
11,QuarkUp/frog,LAY’S,-15,184.72,750,934.72,1243.22,2177.94,Ticket 38
11,QuarkUp/frog,LAY’S,-15,169.72,750,919.72,1243.22,2162.94,Ticket 38
11,QuarkUp/frog,Donations,98.98,268.7,750,1018.7,1244.22,2262.92,

