Date,Nature,Categorie,Quantite,Compte,TicketID,Commentaire
,,,,,66,
,,,,,67,
23,boissons,bar,-60.43,caisse,-1,colruyt (ticket perdu)
26,usb,matériel,-58.33,caisse,69,allkabels.be
26,batteries,matériel,-63.95,caisse,70,nkon
26,3d printer head,matériel,-39.43,caisse,71,prusa
26,Boissons + matériel,bar,-35.76,caisse,72,colruyt
27,cutting board,matériel,-4.5,caisse,73,aliexpress
27,rallonge ,matériel,-39.69,caisse,74,aliexpress
27,usb to 34pin,matériel,-13.79,caisse,75,aliexpress
27,pompe eau,matériel,-5.04,caisse,76,aliexpress
